Depth_m,Hegazy & Mayne (1995) - 1,Hegazy & Mayne (1995) - 2,Baldi et al. (1989) Ticino sand OCR=1,Baldi et al. (1989) Ticino sand OCR=10,Rix & Stokoe (1991) - average,Rix & Stokoe (1991) - upper bound,Rix & Stokoe (1991) - lower bound
0.01,0.271895201,#N/A,0.792277077,0.962648295,1.177116357,1.765674535,0.588558178
0.02,0.537551111,1.586920271,1.410261763,1.725452022,2.024248843,3.036373265,1.012124422
0.03,0.865068451,2.54859346,2.09614717,2.579646263,2.922679681,4.384019522,1.461339841
0.04,1.272322535,3.842520938,2.881252594,3.564528338,3.913752188,5.870628281,1.956876094
0.05,1.696572303,5.147840877,3.655350464,4.53946829,4.872047471,7.308071207,2.436023736
0.06,2.106308497,6.252982303,4.3764189,5.449526461,5.7559178,8.6338767,2.8779589
0.07,2.496733288,7.094308949,5.046050729,6.29573786,6.571971702,9.857957553,3.285985851
0.08,2.830018438,7.985585706,5.613011275,7.011501687,7.266982609,10.90047391,3.633491305
0.09,3.191686689,8.988990765,6.211938674,7.76960208,7.991321408,11.98698211,3.995660704
0.1,3.536555365,9.899205576,6.7757701,8.48356023,8.672082047,13.00812307,4.336041023
0.11,3.863814462,10.64430687,7.305599893,9.154555075,9.311538215,13.96730732,4.655769107
0.12,4.27344802,11.8177542,7.945997466,9.969202923,10.06643378,15.09965068,5.033216892
0.13,4.637180213,12.81461173,8.512481199,10.68921735,10.73755461,16.10633191,5.368777305
0.14,4.978364602,13.74275717,9.040763707,11.36051727,11.36440371,17.04660556,5.682201854
0.15,5.32545913,14.67030644,9.571555348,12.03568696,11.99100178,17.98650267,5.995500889
0.16,5.698857864,15.69523408,10.13282099,12.75094567,12.64719339,18.97079009,6.323596695
0.17,6.186911711,17.21378414,10.84263949,13.65956116,13.45749052,20.18623578,6.728745261
0.18,6.682559911,18.72289565,11.55375229,14.57076667,14.26516822,21.39775233,7.132584111
0.19,7.103884069,20.09142748,12.15930338,15.34556934,14.95879509,22.43819264,7.479397546
0.2,7.561155259,21.43577984,12.80596913,16.17444836,15.69265572,23.53898358,7.846327859
0.21,7.951367146,22.49751312,13.3603707,16.88383423,16.3279409,24.49191135,8.163970449
0.22,8.348543581,23.69542145,13.91946311,17.59978284,16.9660472,25.4490708,8.483023599
0.23,8.828363149,25.22813461,14.57908578,18.44719683,17.70602332,26.55903498,8.85301166
0.24,9.199678293,26.34620453,15.09695862,19.11032133,18.29755491,27.44633236,9.148777454
0.25,9.561712013,27.21876703,15.5999858,19.75443737,18.87220627,28.30830941,9.436103137
0.26,9.97393802,28.33126,16.16236888,20.47634589,19.50627828,29.25941742,9.753139139
0.27,10.27489911,28.79799862,16.58380344,21.01462095,19.99429954,29.99144931,9.99714977
0.28,10.58081525,29.48252023,17.00930694,21.55845707,20.48533725,30.72800588,10.24266863
0.29,10.91119977,30.1747966,17.46280438,22.13909449,21.00388764,31.50583145,10.50194382
0.3,11.21745701,30.68343886,17.88467024,22.67866176,21.48899363,32.23349045,10.74449682
0.31,11.5314038,31.31679631,18.31402082,23.22823206,21.98071002,32.97106503,10.99035501
0.32,11.84028969,32.09360633,18.73536187,23.76755595,22.46325579,33.69488368,11.23162789
0.33,12.28426205,33.30550757,19.31783528,24.51773504,23.10880282,34.66320423,11.55440141
0.34,12.59862909,34.03832805,19.74169837,25.06081327,23.59186105,35.38779157,11.79593052
0.35,12.97259119,34.9364462,20.23509737,25.69504691,24.14456635,36.21684953,12.07228318
0.36,13.52978835,36.6179656,20.94387111,26.6113842,24.91418079,37.37127119,12.4570904
0.37,13.97915084,37.97501618,21.52096426,27.35576034,25.54898063,38.32347094,12.77449031
0.38,14.44212054,39.176685,22.11114116,28.11757699,26.19568211,39.29352317,13.09784106
0.39,14.94046621,40.63369201,22.73962981,28.92991002,26.87959429,40.31939143,13.43979714
0.4,15.39432993,41.99678603,23.31326899,29.67066969,27.50708735,41.26063102,13.75354367
0.41,15.91879644,43.58075377,23.9657373,30.51509728,28.21232672,42.31849007,14.10616336
0.42,16.2646109,44.14618464,24.40975058,31.08636362,28.7078519,43.06177785,14.35392595
