CD1_p_kPa,CD1_e,CD2_p_kPa,CD2_e,CD3_p_kPa,CD3_e,CD4_p_kPa,CD4_e,CD5_p_kPa,CD5_e,CD6_p_kPa,CD6_e
1.000066E+02,6.930000E-01,9.954792E+01,4.830000E-01,9.991655E+01,5.760000E-01,5.000544E+01,4.930000E-01,1.999087E+02,4.900000E-01,5.003746E+02,4.880000E-01
9.998748E+01,6.929827E-01,1.029610E+02,4.828995E-01,9.991073E+01,5.760067E-01,4.996196E+01,4.929965E-01,2.000222E+02,4.900191E-01,5.003723E+02,4.879873E-01
1.001366E+02,6.928957E-01,1.061233E+02,4.828176E-01,9.968317E+01,5.760119E-01,4.991127E+01,4.930182E-01,1.999553E+02,4.900116E-01,5.058133E+02,4.879412E-01
1.027321E+02,6.928696E-01,1.091996E+02,4.827248E-01,1.016157E+02,5.759538E-01,5.175710E+01,4.929190E-01,1.999782E+02,4.899978E-01,5.132448E+02,4.878776E-01
1.044692E+02,6.927822E-01,1.120030E+02,4.826331E-01,1.038426E+02,5.758513E-01,5.455218E+01,4.928216E-01,1.999074E+02,4.900136E-01,5.194615E+02,4.877763E-01
1.064209E+02,6.926341E-01,1.148533E+02,4.825405E-01,1.058235E+02,5.757574E-01,5.683294E+01,4.927078E-01,2.001983E+02,4.899948E-01,5.259088E+02,4.876768E-01
1.081150E+02,6.925290E-01,1.174784E+02,4.824343E-01,1.076496E+02,5.756438E-01,5.886378E+01,4.926025E-01,2.046430E+02,4.899073E-01,5.325939E+02,4.876128E-01
1.098259E+02,6.924124E-01,1.202112E+02,4.823388E-01,1.094142E+02,5.755244E-01,6.060255E+01,4.925205E-01,2.087366E+02,4.898355E-01,5.381893E+02,4.875352E-01
1.112738E+02,6.923072E-01,1.227246E+02,4.822590E-01,1.110773E+02,5.754145E-01,6.239892E+01,4.924144E-01,2.126005E+02,4.897627E-01,5.440143E+02,4.874401E-01
1.128427E+02,6.921784E-01,1.253761E+02,4.821910E-01,1.127989E+02,5.753386E-01,6.395887E+01,4.923326E-01,2.165520E+02,4.896665E-01,5.495470E+02,4.873930E-01
1.141063E+02,6.919995E-01,1.278244E+02,4.821254E-01,1.142341E+02,5.752053E-01,6.560278E+01,4.922291E-01,2.203303E+02,4.895909E-01,5.549843E+02,4.873206E-01
1.154383E+02,6.919833E-01,1.302428E+02,4.820312E-01,1.158266E+02,5.751081E-01,6.704473E+01,4.921644E-01,2.241439E+02,4.894918E-01,5.600879E+02,4.872457E-01
1.165722E+02,6.918227E-01,1.325615E+02,4.819906E-01,1.171640E+02,5.750179E-01,6.855174E+01,4.920839E-01,2.280164E+02,4.893945E-01,5.648938E+02,4.871978E-01
1.178336E+02,6.916954E-01,1.348998E+02,4.819045E-01,1.185744E+02,5.749130E-01,6.986181E+01,4.920262E-01,2.317790E+02,4.892843E-01,5.703343E+02,4.871443E-01
1.188776E+02,6.916432E-01,1.371347E+02,4.818545E-01,1.198052E+02,5.748012E-01,7.127678E+01,4.919802E-01,2.355148E+02,4.891989E-01,5.756037E+02,4.870802E-01
1.199722E+02,6.914204E-01,1.394412E+02,4.817799E-01,1.210876E+02,5.747135E-01,7.260843E+01,4.919061E-01,2.391041E+02,4.890968E-01,5.811272E+02,4.869376E-01
1.210971E+02,6.912992E-01,1.415405E+02,4.817066E-01,1.221552E+02,5.746049E-01,7.380624E+01,4.918823E-01,2.426978E+02,4.890536E-01,5.860954E+02,4.868926E-01
1.219769E+02,6.911365E-01,1.436354E+02,4.816704E-01,1.233730E+02,5.745192E-01,7.497959E+01,4.918205E-01,2.462753E+02,4.889672E-01,5.913643E+02,4.867871E-01
1.230071E+02,6.911109E-01,1.456471E+02,4.815944E-01,1.243951E+02,5.744296E-01,7.608472E+01,4.917810E-01,2.497334E+02,4.888950E-01,5.966987E+02,4.867278E-01
1.238260E+02,6.909850E-01,1.477010E+02,4.815234E-01,1.255332E+02,5.743409E-01,7.725119E+01,4.917378E-01,2.532358E+02,4.888104E-01,6.021184E+02,4.866363E-01
1.247494E+02,6.908627E-01,1.495689E+02,4.814893E-01,1.264632E+02,5.742655E-01,7.831612E+01,4.917250E-01,2.564487E+02,4.887303E-01,6.074229E+02,4.865820E-01
1.255697E+02,6.907627E-01,1.515010E+02,4.814300E-01,1.274892E+02,5.741546E-01,7.935526E+01,4.916704E-01,2.597204E+02,4.886525E-01,6.123452E+02,4.864879E-01
1.264008E+02,6.906769E-01,1.531690E+02,4.814116E-01,1.283845E+02,5.740728E-01,8.028697E+01,4.916633E-01,2.629785E+02,4.885699E-01,6.178312E+02,4.864475E-01
1.270732E+02,6.905646E-01,1.549775E+02,4.813757E-01,1.293844E+02,5.739794E-01,8.128613E+01,4.916121E-01,2.661141E+02,4.885043E-01,6.226859E+02,4.863968E-01
1.278082E+02,6.904730E-01,1.566916E+02,4.813476E-01,1.302106E+02,5.738834E-01,8.211272E+01,4.915872E-01,2.692620E+02,4.884321E-01,6.285909E+02,4.862775E-01
1.286699E+02,6.903502E-01,1.583994E+02,4.813123E-01,1.311291E+02,5.738346E-01,8.309304E+01,4.915954E-01,2.721826E+02,4.883846E-01,6.330326E+02,4.862405E-01
1.293291E+02,6.902264E-01,1.599338E+02,4.812991E-01,1.319220E+02,5.737206E-01,8.389492E+01,4.915825E-01,2.751111E+02,4.883027E-01,6.380637E+02,4.861679E-01
1.299741E+02,6.901413E-01,1.615350E+02,4.812690E-01,1.328003E+02,5.736720E-01,8.476370E+01,4.915485E-01,2.780256E+02,4.882329E-01,6.430457E+02,4.861028E-01
1.305986E+02,6.900110E-01,1.629821E+02,4.812611E-01,1.335100E+02,5.735937E-01,8.547589E+01,4.915441E-01,2.807724E+02,4.881598E-01,6.480215E+02,4.857053E-01
1.312921E+02,6.899261E-01,1.645589E+02,4.812475E-01,1.343133E+02,5.734823E-01,8.630361E+01,4.915525E-01,2.835818E+02,4.881214E-01,6.530558E+02,4.859833E-01
1.318824E+02,6.898005E-01,1.659094E+02,4.812372E-01,1.350116E+02,5.734285E-01,8.701669E+01,4.915542E-01,2.862591E+02,4.880733E-01,6.578058E+02,4.859211E-01
1.325087E+02,6.897282E-01,1.673291E+02,4.812512E-01,1.358071E+02,5.733858E-01,8.778437E+01,4.915689E-01,2.888183E+02,4.880586E-01,6.625397E+02,4.858543E-01
1.330987E+02,6.896409E-01,1.686432E+02,4.812508E-01,1.364244E+02,5.733114E-01,8.840709E+01,4.915874E-01,2.913864E+02,4.880058E-01,6.671463E+02,4.857896E-01
1.335981E+02,6.895608E-01,1.699991E+02,4.812230E-01,1.371279E+02,5.732480E-01,8.906820E+01,4.915967E-01,2.938875E+02,4.879996E-01,6.720598E+02,4.857359E-01
1.341462E+02,6.894833E-01,1.712181E+02,4.812349E-01,1.378016E+02,5.731675E-01,8.981006E+01,4.916304E-01,2.962153E+02,4.879157E-01,6.767109E+02,4.856861E-01
1.347214E+02,6.894059E-01,1.724762E+02,4.812451E-01,1.385318E+02,5.731032E-01,9.038888E+01,4.916510E-01,2.986267E+02,4.878947E-01,6.815163E+02,4.856339E-01
1.353084E+02,6.893089E-01,1.737026E+02,4.812384E-01,1.390965E+02,5.730495E-01,9.103063E+01,4.916944E-01,3.009764E+02,4.878268E-01,6.860565E+02,4.855745E-01
1.357285E+02,6.892193E-01,1.748437E+02,4.812578E-01,1.397000E+02,5.729983E-01,9.156281E+01,4.917313E-01,3.032402E+02,4.878140E-01,6.902029E+02,4.855213E-01
1.362277E+02,6.891593E-01,1.760211E+02,4.812765E-01,1.403115E+02,5.729337E-01,9.222314E+01,4.917768E-01,3.053212E+02,4.878061E-01,6.948288E+02,4.854399E-01
1.367899E+02,6.890622E-01,1.770951E+02,4.813069E-01,1.409612E+02,5.728679E-01,9.271459E+01,4.918309E-01,3.074759E+02,4.877319E-01,6.994371E+02,4.854228E-01
