test_id,p_kPa,void_ratio
CD1,100.0066,0.693
CD1,99.98748,0.6929827
CD1,100.1366,0.6928957
CD1,102.7321,0.6928696
CD1,104.4692,0.6927822
CD1,106.4209,0.6926341
CD1,108.115,0.692529
CD1,109.8259,0.6924124
CD1,111.2738,0.6923072
CD1,112.8427,0.6921784
CD1,114.1063,0.6919995
CD1,115.4383,0.6919833
CD1,116.5722,0.6918227
CD1,117.8336,0.6916954
CD1,118.8776,0.6916432
CD1,119.9722,0.6914204
CD1,121.0971,0.6912992
CD1,121.9769,0.6911365
CD1,123.0071,0.6911109
CD1,123.826,0.690985
CD1,124.7494,0.6908627
CD1,125.5697,0.6907627
CD1,126.4008,0.6906769
CD1,127.0732,0.6905646
CD1,127.8082,0.690473
CD1,128.6699,0.6903502
CD1,129.3291,0.6902264
CD1,129.9741,0.6901413
CD1,130.5986,0.690011
CD1,131.2921,0.6899261
CD1,131.8824,0.6898005
CD1,132.5087,0.6897282
CD1,133.0987,0.6896409
CD1,133.5981,0.6895608
CD1,134.1462,0.6894833
CD1,134.7214,0.6894059
CD1,135.3084,0.6893089
CD1,135.7285,0.6892193
CD1,136.2277,0.6891593
CD1,136.7899,0.6890622
CD1,137.1736,0.6889495
CD1,137.7327,0.6888521
CD1,138.1798,0.6887379
CD1,138.64,0.6886718
CD1,139.0227,0.688575
CD1,139.4959,0.6885599
CD1,139.8944,0.6884644
CD1,140.3351,0.6883829
CD1,140.6956,0.6882966
CD1,141.0764,0.6881992
CD1,141.5163,0.6881437
CD1,141.8716,0.6880529
CD1,142.2667,0.6879892
CD1,142.5887,0.6878925
CD1,142.9627,0.6878322
CD1,143.304,0.6877661
CD1,143.6897,0.6877039
CD1,143.9507,0.687628
CD1,144.3356,0.6875583
CD1,144.6475,0.6875035
CD1,145.0342,0.6874341
CD1,145.2982,0.6873983
CD1,145.6657,0.6873334
CD1,145.903,0.6872359
CD1,146.2629,0.6871778
CD1,146.5067,0.6870922
CD1,146.8454,0.6870398
CD1,147.0683,0.686959
CD1,147.3889,0.686909
CD1,147.645,0.6868035
CD1,147.8894,0.6867644
CD1,148.2025,0.6866884
CD1,148.418,0.6866262
CD1,148.7816,0.6865822
CD1,148.9934,0.6865214
CD1,149.3378,0.6864493
CD1,149.5103,0.6864207
CD1,149.8352,0.6863449
CD1,149.9909,0.6863077
CD1,150.2947,0.686259
CD1,150.5352,0.6862076
CD1,150.7468,0.6861431
CD1,150.9067,0.686083
CD1,151.2259,0.6860294
CD1,151.4155,0.6859407
CD1,151.6611,0.6859183
CD1,151.8771,0.6858621
CD1,152.1246,0.6857731
CD1,152.3527,0.6857243
CD1,152.5347,0.685661
CD1,152.7611,0.6856126
CD1,152.9254,0.6855754
CD1,153.1553,0.6854981
CD1,153.3236,0.6854906
CD1,153.5748,0.6854173
CD1,153.7114,0.6853959
CD1,153.9548,0.685334
CD1,154.0967,0.6852914
CD1,154.3186,0.6852525
CD1,154.5191,0.6852204
CD1,154.7119,0.6851859
CD1,154.8899,0.6851543
CD1,155.0024,0.6850977
CD1,155.2514,0.6850459
CD1,155.4272,0.6850061
