test_id,e_end,p_kPa_end,type
CD1,6.881619E-01,1.807835E+02,actual
CD2,6.031836E-01,2.007198E+02,actual
CD3,6.313496E-01,1.886106E+02,actual
CD4,6.029134E-01,1.084970E+02,actual
CD5,5.888674E-01,3.843479E+02,actual
CD6,5.736906E-01,9.311845E+02,actual
CD1,6.904605E-01,1.810000E+02,interpreted
CD2,6.105380E-01,1.960000E+02,interpreted
CD3,6.390400E-01,1.840000E+02,interpreted
CD4,6.154260E-01,1.060000E+02,interpreted
CD5,6.017500E-01,3.730000E+02,interpreted
CD6,5.802560E-01,9.100000E+02,interpreted
CU1,7.110000E-01,7.613628E+01,actual
CU2,6.090000E-01,6.212842E+02,actual
CU3,6.830000E-01,1.205870E+02,actual
CU4,4.810000E-01,1.302386E+03,actual
CU5,7.030000E-01,5.387415E+01,actual
CU6,6.800000E-01,4.108516E+02,actual
CU7,5.610000E-01,1.207575E+03,actual
