CD1_Ed_prc,CD1_Gnorm_fe_fp_MPa,CD2_Ed_prc,CD2_Gnorm_fe_fp_MPa,CD3_Ed_prc,CD3_Gnorm_fe_fp_MPa,CD4_Ed_prc,CD4_Gnorm_fe_fp_MPa,CD5_Ed_prc,CD5_Gnorm_fe_fp_MPa,CD6_Ed_prc,CD6_Gnorm_fe_fp_MPa,CU1_Ed_prc,CU1_Gnorm_fe_fp_MPa,CU2_Ed_prc,CU2_Gnorm_fe_fp_MPa,CU3_Ed_prc,CU3_Gnorm_fe_fp_MPa,CU4_Ed_prc,CU4_Gnorm_fe_fp_MPa,CU5_Ed_prc,CU5_Gnorm_fe_fp_MPa,CU6_Ed_prc,CU6_Gnorm_fe_fp_MPa,CU7_Ed_prc,CU7_Gnorm_fe_fp_MPa
3.426133E-02,1.727337E+01,4.398720E-02,1.947443E+01,2.271809E-02,1.637359E+01,2.468878E-02,1.979663E+01,6.085598E-03,2.635477E+01,4.851587E-02,1.767557E+01,4.442353E-02,1.324257E+01,4.279964E-02,1.172917E+01,2.726878E-02,1.648693E+01,2.889732E-02,1.838242E+01,4.901368E-02,1.132495E+01,4.742721E-02,2.395586E+01,2.210080E-02,1.366620E+01
4.065341E-02,1.648613E+01,5.098741E-02,1.865516E+01,2.877380E-02,1.588725E+01,3.102059E-02,1.876238E+01,9.557188E-03,2.292334E+01,5.484622E-02,1.661241E+01,5.340275E-02,1.248158E+01,5.161808E-02,1.091743E+01,3.480998E-02,1.504313E+01,3.628697E-02,1.774544E+01,5.941797E-02,1.034403E+01,5.273063E-02,2.356150E+01,3.002789E-02,1.221233E+01
5.190922E-02,1.266644E+01,6.393595E-02,1.523437E+01,3.827359E-02,1.441973E+01,4.131774E-02,1.718269E+01,1.529366E-02,2.072422E+01,6.802141E-02,1.954034E+01,6.864121E-02,1.137518E+01,6.655504E-02,9.966414E+00,4.728409E-02,1.543213E+01,4.805749E-02,1.628115E+01,7.741134E-02,1.004375E+01,6.381442E-02,2.284181E+01,4.210474E-02,9.366067E+00
6.785416E-02,1.428486E+01,7.904286E-02,1.388465E+01,4.982886E-02,1.387047E+01,5.346340E-02,1.603193E+01,2.275114E-02,2.271335E+01,8.020480E-02,1.893830E+01,8.655681E-02,1.038599E+01,8.380660E-02,8.707910E+00,6.053730E-02,1.395726E+01,6.177652E-02,1.500711E+01,9.653144E-02,8.962183E+00,7.563792E-02,2.213047E+01,5.849098E-02,7.990032E+00
8.278325E-02,1.322870E+01,9.491650E-02,1.394199E+01,6.292333E-02,1.231090E+01,6.745867E-02,1.428962E+01,3.062064E-02,2.092399E+01,9.257029E-02,1.909443E+01,1.060236E-01,8.933769E+00,1.023925E-01,7.025005E+00,7.630860E-02,1.081293E+01,7.774051E-02,1.246894E+01,1.172411E-01,7.122775E+00,8.685378E-02,2.266779E+01,7.741264E-02,6.762412E+00
9.748113E-02,1.300753E+01,1.101120E-01,1.302543E+01,7.711862E-02,1.184456E+01,8.246906E-02,1.252346E+01,4.023652E-02,1.817914E+01,1.043546E-01,1.740664E+01,1.256517E-01,7.695439E+00,1.222830E-01,5.761605E+00,9.587616E-02,9.992981E+00,9.505775E-02,1.090458E+01,1.395593E-01,6.109570E+00,9.711234E-02,2.555082E+01,9.570788E-02,6.788965E+00
1.116426E-01,1.101799E+01,1.258480E-01,1.238969E+01,9.089713E-02,1.023871E+01,9.805561E-02,1.089672E+01,5.253588E-02,1.947374E+01,1.169986E-01,1.671754E+01,1.457359E-01,6.567719E+00,1.428018E-01,4.849082E+00,1.152667E-01,9.539414E+00,1.128847E-01,9.721539E+00,1.611351E-01,4.802968E+00,1.056069E-01,2.936306E+01,1.118912E-01,5.007054E+00
1.272623E-01,1.078163E+01,1.418688E-01,1.209394E+01,1.060281E-01,9.841286E+00,1.147274E-01,9.914851E+00,6.497670E-02,1.638720E+01,1.298793E-01,1.635938E+01,1.665519E-01,5.752282E+00,1.634099E-01,3.930347E+00,1.339514E-01,8.261027E+00,1.310530E-01,8.677160E+00,1.851864E-01,4.195930E+00,1.124606E-01,3.178359E+01,1.303337E-01,4.236261E+00
1.424594E-01,9.300826E+00,1.577736E-01,1.096249E+01,1.208847E-01,9.115307E+00,1.318702E-01,9.513772E+00,7.930751E-02,1.771478E+01,1.425676E-01,1.614345E+01,1.876936E-01,5.319965E+00,1.844765E-01,3.228529E+00,1.534855E-01,7.541486E+00,1.497599E-01,7.423389E+00,2.077295E-01,3.714024E+00,1.184818E-01,2.468885E+01,1.494471E-01,3.758118E+00
1.588512E-01,9.770011E+00,1.746946E-01,1.059563E+01,1.362200E-01,8.344485E+00,1.488653E-01,8.802309E+00,9.227168E-02,1.612723E+01,1.552844E-01,1.670964E+01,2.082038E-01,4.497857E+00,2.058393E-01,2.706162E+00,1.730909E-01,6.557235E+00,1.699162E-01,6.626123E+00,2.300835E-01,3.116631E+00,1.256294E-01,2.682452E+01,1.683821E-01,3.188712E+00
