test_id,Ed_prc,Gtan/fe/fp
CD1,0.03426133,17.27337
CD1,0.04065341,16.48613
CD1,0.05190922,12.66644
CD1,0.06785416,14.28486
CD1,0.08278325,13.2287
CD1,0.09748113,13.00753
CD1,0.1116426,11.01799
CD1,0.1272623,10.78163
CD1,0.1424594,9.300826
CD1,0.1588512,9.770011
CD1,0.1738372,8.446271
CD1,0.189979,7.796481
CD1,0.2068423,8.415374
CD1,0.2216449,7.031058
CD1,0.2387564,6.635445
CD1,0.255729,5.584584
CD1,0.2751434,5.474156
CD1,0.2943591,5.36353
CD1,0.3128524,5.245593
CD1,0.3311581,5.056129
CD1,0.3491256,4.708837
CD1,0.368039,4.384852
CD1,0.387383,4.703434
CD1,0.404874,4.202318
CD1,0.423716,4.070062
CD1,0.4426153,3.958318
CD1,0.4614404,3.960584
CD1,0.4793573,3.875208
CD1,0.4974056,3.519487
CD1,0.5164843,3.378884
CD1,0.5358787,3.314446
CD1,0.555145,3.247789
CD1,0.5740259,3.132838
CD1,0.59331,3.075727
CD1,0.612375,3.061327
CD1,0.6313424,2.902616
CD1,0.6506517,2.758734
CD1,0.6705044,2.681805
CD1,0.6900833,2.728948
CD1,0.7093746,2.597016
CD1,0.7289996,2.500461
CD1,0.7485203,2.52742
CD1,0.7680524,2.36245
CD1,0.7879332,2.293228
CD1,0.808124,2.228652
CD1,0.8281658,2.210234
CD1,0.8482985,2.177629
CD1,0.8680183,2.111168
CD1,0.8882594,2.008293
CD1,0.9085005,2.041585
CD1,0.9285171,1.968568
CD1,0.9488545,1.970518
CD1,0.9688417,1.889216
CD1,0.9891204,1.900722
CD1,1.009087,1.827482
CD1,1.02931,1.799885
CD1,1.04973,1.7397
CD1,1.070205,1.757879
CD1,1.090148,1.694718
CD1,1.110558,1.639313
CD1,1.131199,1.651942
CD1,1.151283,1.541427
CD1,1.171763,1.587694
CD1,1.191964,1.444845
CD1,1.212978,1.525003
CD1,1.233779,1.46917
CD1,1.254237,1.515969
CD1,1.274771,1.38755
CD1,1.295867,1.450009
CD1,1.316806,1.393573
CD1,1.337273,1.378568
CD1,1.35832,1.376456
CD1,1.379348,1.33297
CD1,1.400208,1.334411
CD1,1.420571,1.284953
CD1,1.441321,1.258867
CD1,1.462289,1.224147
CD1,1.482953,1.251817
CD1,1.503521,1.200273
CD1,1.524251,1.246064
CD1,1.544834,1.170214
