CD1_eax_prc,CD1_evol_prc,CD1_q_kPa,CD2_eax_prc,CD2_evol_prc,CD2_q_kPa,CD3_eax_prc,CD3_evol_prc,CD3_q_kPa,CD4_eax_prc,CD4_evol_prc,CD4_q_kPa,CD5_eax_prc,CD5_evol_prc,CD5_q_kPa,CD6_eax_prc,CD6_evol_prc,CD6_q_kPa
0.000000E+00,0.000000E+00,1.965999E-02,0.000000E+00,0.000000E+00,-1.356251E+00,0.000000E+00,0.000000E+00,-2.503398E-01,0.000000E+00,0.000000E+00,1.631043E-02,0.000000E+00,0.000000E+00,-2.738744E-01,0.000000E+00,0.000000E+00,1.123874E+00
2.717827E-03,1.020050E-03,-3.757231E-02,5.616522E-03,6.773821E-03,8.883088E+00,-1.318704E-03,-4.271180E-04,-2.678058E-01,5.257414E-04,2.313977E-04,-1.141051E-01,-4.223942E-03,-1.283701E-03,6.671707E-02,1.220061E-02,8.529350E-04,1.116783E+00
1.156125E-03,6.158873E-03,4.098729E-01,1.335176E-02,1.230239E-02,1.836988E+01,-9.808736E-04,-7.548571E-04,-9.504843E-01,-2.474009E-03,-1.220097E-03,-2.661768E-01,-5.681598E-04,-7.790884E-04,-1.341787E-01,1.690153E-02,3.953555E-03,1.743995E+01
1.513452E-02,7.703949E-03,8.196402E+00,2.241950E-02,1.855401E-02,2.759892E+01,4.152986E-03,2.928507E-03,4.847160E+00,5.039906E-03,5.423121E-03,5.271290E+00,3.341432E-04,1.477945E-04,-6.534644E-02,2.983453E-02,8.222463E-03,3.973446E+01
1.591304E-02,1.286206E-02,1.340753E+01,3.247496E-02,2.474221E-02,3.600912E+01,1.227257E-02,9.434656E-03,1.152790E+01,1.431598E-02,1.194643E-02,1.365653E+01,-2.564869E-03,-9.099921E-04,-2.778046E-01,3.095429E-02,1.503113E-02,5.838439E+01
2.756520E-02,2.161392E-02,1.926276E+01,4.297187E-02,3.098748E-02,4.455989E+01,2.107480E-02,1.539528E-02,1.747041E+01,2.405616E-02,1.957414E-02,2.049882E+01,2.015337E-03,3.483728E-04,5.949897E-01,4.182094E-02,2.172127E-02,7.772631E+01
4.695593E-02,2.781994E-02,2.434490E+01,5.106585E-02,3.814397E-02,5.243517E+01,3.115031E-02,2.260342E-02,2.294884E+01,3.378935E-02,2.662757E-02,2.659135E+01,7.046114E-03,6.224261E-03,1.392897E+01,5.028774E-02,2.602404E-02,9.778165E+01
4.897565E-02,3.470527E-02,2.947779E+01,6.295583E-02,4.458798E-02,6.063366E+01,4.001312E-02,3.017948E-02,2.824259E+01,4.447284E-02,3.211800E-02,3.180766E+01,1.710068E-02,1.104236E-02,2.620967E+01,5.312881E-02,3.123689E-02,1.145678E+02
7.054345E-02,4.091986E-02,3.382154E+01,7.306138E-02,4.996856E-02,6.817368E+01,5.051849E-02,3.714869E-02,3.323182E+01,5.320224E-02,3.922402E-02,3.719675E+01,2.272174E-02,1.592803E-02,3.780157E+01,6.518961E-02,3.762438E-02,1.320428E+02
7.286269E-02,4.853166E-02,3.852806E+01,8.399507E-02,5.454998E-02,7.612838E+01,6.206880E-02,4.196963E-02,3.839658E+01,6.571070E-02,4.469973E-02,4.187661E+01,3.101827E-02,2.238454E-02,4.965613E+01,7.815724E-02,4.079484E-02,1.486409E+02
8.468501E-02,5.909861E-02,4.231898E+01,9.441744E-02,5.897706E-02,8.347310E+01,7.165619E-02,5.042741E-02,4.270234E+01,7.666170E-02,5.163324E-02,4.680833E+01,4.227086E-02,2.745389E-02,6.099101E+01,9.128649E-02,4.565848E-02,1.649529E+02
1.144541E-01,6.005437E-02,4.631485E+01,1.123537E-01,6.532593E-02,9.072849E+01,8.440173E-02,5.659102E-02,4.747987E+01,8.922716E-02,5.596669E-02,5.113420E+01,5.062793E-02,3.410465E-02,7.243159E+01,9.915429E-02,5.069143E-02,1.802637E+02
1.084753E-01,6.953698E-02,4.971653E+01,1.235868E-01,6.806802E-02,9.768458E+01,9.564333E-02,6.231482E-02,5.149185E+01,9.918716E-02,6.135826E-02,5.565521E+01,5.867182E-02,4.063716E-02,8.404931E+01,1.049468E-01,5.391269E-02,1.946813E+02
1.231110E-01,7.705878E-02,5.350080E+01,1.285883E-01,7.386721E-02,1.046993E+02,1.081244E-01,6.897321E-02,5.572314E+01,1.116363E-01,6.522470E-02,5.958543E+01,7.181401E-02,4.803534E-02,9.533690E+01,1.142986E-01,5.750433E-02,2.110028E+02
1.201018E-01,8.014464E-02,5.663284E+01,1.408265E-01,7.724143E-02,1.114041E+02,1.140330E-01,7.606506E-02,5.941548E+01,1.230910E-01,6.830440E-02,6.383033E+01,8.666999E-02,5.376343E-02,1.065443E+02,1.195485E-01,6.181345E-02,2.268110E+02
1.416417E-01,9.330243E-02,5.991648E+01,1.525639E-01,8.227529E-02,1.183237E+02,1.305109E-01,8.162817E-02,6.326275E+01,1.382083E-01,7.326683E-02,6.782530E+01,9.393266E-02,6.061899E-02,1.173123E+02,1.327470E-01,7.139891E-02,2.433816E+02
1.589089E-01,1.004578E-01,6.329124E+01,1.592497E-01,8.721612E-02,1.246216E+02,1.388973E-01,8.851915E-02,6.646572E+01,1.488430E-01,7.486557E-02,7.141871E+01,1.088829E-01,6.351787E-02,1.280935E+02,1.396759E-01,7.442122E-02,2.582862E+02
1.687360E-01,1.100711E-01,6.593060E+01,1.756718E-01,8.965588E-02,1.309062E+02,1.498116E-01,9.395962E-02,7.011897E+01,1.582214E-01,7.900128E-02,7.493877E+01,1.113745E-01,6.931775E-02,1.388260E+02,1.433084E-01,8.151349E-02,2.740929E+02
1.806189E-01,1.115819E-01,6.902145E+01,1.860231E-01,9.477852E-02,1.369412E+02,1.630580E-01,9.964325E-02,7.318538E+01,1.672195E-01,8.164553E-02,7.825415E+01,1.227796E-01,7.416330E-02,1.492001E+02,1.510864E-01,8.549880E-02,2.900960E+02
1.895533E-01,1.190180E-01,7.147793E+01,1.998222E-01,9.957136E-02,1.431029E+02,1.731510E-01,1.052698E-01,7.659966E+01,1.879421E-01,8.454010E-02,8.175356E+01,1.349589E-01,7.983861E-02,1.597075E+02,1.679443E-01,9.164712E-02,3.063552E+02
2.044267E-01,1.262440E-01,7.424817E+01,2.060886E-01,1.018695E-01,1.487068E+02,1.855762E-01,1.100590E-01,7.938947E+01,2.005797E-01,8.540048E-02,8.494836E+01,1.477646E-01,8.521200E-02,1.693460E+02,1.735149E-01,9.529591E-02,3.222688E+02
2.239491E-01,1.321500E-01,7.670902E+01,2.202674E-01,1.058632E-01,1.545029E+02,1.969378E-01,1.170917E-01,8.246762E+01,2.126589E-01,8.905446E-02,8.806577E+01,1.564593E-01,9.043759E-02,1.791613E+02,1.797114E-01,1.016199E-01,3.370355E+02
2.298288E-01,1.372182E-01,7.920227E+01,2.325673E-01,1.071084E-01,1.595070E+02,2.093955E-01,1.222868E-01,8.515337E+01,2.209963E-01,8.952988E-02,9.086091E+01,1.691254E-01,9.597989E-02,1.889356E+02,1.949185E-01,1.043374E-01,3.534936E+02
