test_id,eax_prc,evol_prc,q_kPa
CD1,0.0,0.0,0.01965999
CD1,0.002717827,0.00102005,-0.03757231
CD1,0.001156125,0.006158873,0.4098729
CD1,0.01513452,0.007703949,8.196402
CD1,0.01591304,0.01286206,13.40753
CD1,0.0275652,0.02161392,19.26276
CD1,0.04695593,0.02781994,24.3449
CD1,0.04897565,0.03470527,29.47779
CD1,0.07054345,0.04091986,33.82154
CD1,0.07286269,0.04853166,38.52806
CD1,0.08468501,0.05909861,42.31898
CD1,0.1144541,0.06005437,46.31485
CD1,0.1084753,0.06953698,49.71653
CD1,0.123111,0.07705878,53.5008
CD1,0.1201018,0.08014464,56.63284
CD1,0.1416417,0.09330243,59.91648
CD1,0.1589089,0.1004578,63.29124
CD1,0.168736,0.1100711,65.9306
CD1,0.1806189,0.1115819,69.02145
CD1,0.1895533,0.119018,71.47793
CD1,0.2044267,0.126244,74.24817
CD1,0.2239491,0.13215,76.70902
CD1,0.2298288,0.1372182,79.20227
CD1,0.2433655,0.1438485,81.21954
CD1,0.255231,0.1492637,83.42473
CD1,0.2736544,0.1565155,86.00978
CD1,0.286803,0.1638273,87.98736
CD1,0.2940194,0.1688568,89.92243
CD1,0.3060096,0.1765479,91.79593
CD1,0.3195987,0.1815646,93.8764
CD1,0.3370233,0.1889857,95.6473
CD1,0.3453027,0.1932566,97.52619
CD1,0.3590107,0.1984104,99.29603
CD1,0.3722455,0.2031442,100.7944
CD1,0.3834024,0.2077173,102.4387
CD1,0.3956908,0.2122947,104.1641
CD1,0.4090702,0.2180228,105.9251
CD1,0.4223225,0.2233138,107.1856
CD1,0.4347532,0.2268583,108.6832
CD1,0.4478423,0.2325928,110.3697
CD1,0.4627869,0.239251,111.5207
CD1,0.4738878,0.2450006,113.1982
CD1,0.4868616,0.2517488,114.5395
CD1,0.4992573,0.2556532,115.9199
CD1,0.5127683,0.2613685,117.068
CD1,0.526967,0.2622643,118.4876
CD1,0.5387357,0.2679024,119.6833
CD1,0.5501676,0.2727155,121.0053
CD1,0.5650445,0.2778158,122.0869
CD1,0.5775358,0.2835653,123.2293
CD1,0.591421,0.2868483,124.5488
CD1,0.6044064,0.29221,125.6147
CD1,0.6181739,0.2959709,126.8
CD1,0.6303132,0.3016862,127.7662
CD1,0.6436296,0.3052435,128.8881
CD1,0.6564472,0.309148,129.9121
CD1,0.6705713,0.3128232,131.069
CD1,0.6818924,0.3173041,131.8522
CD1,0.6951471,0.321425,133.0069
CD1,0.7086523,0.3246609,133.9426
CD1,0.7207881,0.3287625,135.1026
CD1,0.7343738,0.3308734,135.8947
CD1,0.7463639,0.3347071,136.997
CD1,0.7599962,0.3404674,137.709
CD1,0.7744081,0.3439004,138.7887
CD1,0.7879343,0.3489557,139.5202
CD1,0.7987858,0.3520501,140.5363
CD1,0.8129052,0.3568246,141.2048
CD1,0.8270969,0.3597734,142.1666
CD1,0.8383924,0.3660051,142.935
CD1,0.85221,0.3683152,143.6682
CD1,0.8649856,0.3728068,144.6074
CD1,0.8816131,0.376482,145.2539
CD1,0.8929587,0.3790793,146.3447
CD1,0.905443,0.3826688,146.9802
CD1,0.9191498,0.3869268,148.0134
CD1,0.9327716,0.3886198,148.531
CD1,0.9458852,0.3930943,149.5057
CD1,0.9571004,0.3952908,149.9727
CD1,0.9706324,0.3981688,150.8842
CD1,0.9845746,0.4012032,151.6055
CD1,0.9961592,0.4050156,152.2404
CD1,1.009873,0.4085665,152.7201
CD1,1.023645,0.4117316,153.6778
CD1,1.037936,0.4169712,154.2465
CD1,1.048909,0.4182912,154.9833
CD1,1.062516,0.4216128,155.6314
CD1,1.076832,0.4268716,156.3737
CD1,1.08742,0.4297496,157.0581
CD1,1.102308,0.4334891,157.6041
CD1,1.115653,0.4363478,158.2833
CD1,1.129367,0.4385444,158.7763
CD1,1.138611,0.443111,159.4658
CD1,1.149636,0.4435546,159.9707
CD1,1.164617,0.4478834,160.7244
